,Length,Width,Views,Price_USD,Age
152,5.64,2.45,31,36442.5,5
153,5.5,2.29,97,37517.5,4
154,7.45,2.5,301,37517.5,4
155,8.0,2.8,128,37517.5,24
156,6.4,2.45,220,37440.1,5
157,6.2,2.34,48,38161.425,4
158,5.94,2.4,40,38108.75,4
159,5.56,2.26,27,38075.425,4
160,6.9,1.78,106,38055.0,4
161,5.7,2.26,131,37893.75,4
162,6.58,2.38,283,41707.05,5
163,7.74,2.52,65,39145.05,4
164,6.8,2.35,103,39022.5,4
165,6.0,2.0,32,38610.0,5
166,5.73,2.29,131,43102.78,4
167,6.02,2.34,269,43047.83,4
168,5.0,2.0,90,38467.0,4
169,7.5,2.5,166,42861.0,6
170,6.06,2.2,172,44464.441,5
171,6.74,2.55,194,44278.71,4
172,5.94,2.4,144,44003.96,5
173,6.4,2.4,109,39775.0,4
174,6.0,2.34,91,40850.0,4
175,5.94,2.29,113,41817.5,4
176,6.0,2.0,153,41327.0,5
177,7.43,2.81,60,41703.55,4
178,6.0,2.0,73,41654.1,6
179,5.56,2.23,85,41602.5,4
180,5.49,2.2,300,46454.73,4
181,6.05,2.32,164,41925.0,4
182,8.5,2.8,65,41925.0,6
183,6.6,2.5,50,42879.6,5
184,6.04,2.26,70,42785.0,4
185,6.4,2.25,52,42615.15,6
186,7.8,2.45,118,42559.25,5
187,6.8,2.49,66,42462.5,14
188,5.75,2.54,84,42998.925,4
189,5.94,2.54,43,42989.25,5
190,6.2,2.44,41,42989.25,4
191,8.4,2.8,155,42946.25,4
192,5.52,2.4,38,42916.15,5
193,7.76,2.85,208,44073.925,4
194,5.56,2.23,28,43967.5,4
195,6.5,2.4,90,43860.0,5
196,5.5,2.29,83,43698.75,4
197,5.1,2.3,93,47806.5,16
198,5.77,2.44,39,46160.0,4
199,5.7,2.15,114,43440.75,4
200,6.0,2.0,105,42757.0,4
201,5.99,2.21,82,45042.5,5
202,5.7,2.38,64,45042.5,4
203,5.56,2.23,29,45042.5,4
204,6.1,2.34,73,45042.5,4
205,6.7,2.45,104,45031.75,4
206,8.0,3.0,144,45025.3,4
207,6.15,2.27,168,49345.1,11
208,6.0,2.0,54,44898.45,6
209,7.23,2.55,55,44790.95,4
210,5.52,2.4,52,45687.5,6
211,7.88,2.55,176,45686.425,4
212,7.0,2.5,200,45472.5,4
213,5.73,2.29,257,50224.3,5
214,6.66,2.55,66,45365.0,4
215,7.15,2.45,222,51122.183,4
216,6.48,2.46,62,47298.925,4
217,6.4,2.48,51,48267.5,5
218,5.7,2.38,60,48267.5,4
219,7.25,2.5,170,48375.0,5
220,6.86,2.48,38,48375.0,4
221,5.75,2.54,202,53741.1,4
222,6.45,2.5,123,53620.21,5
