,Boat Type,Length,Width,Views,Price_USD,Country,City,t3,Age
409,Fishing Boat,6.6,1.85,888,27475.0,Switzerland , Lake Constance ,new,4
410,Deck Boat,5.6,2.25,84,25036.75,Germany , auf Anfrage,new,5
415,Sport Boat,5.73,2.2,157,25982.75,Germany , Nordrhein-Westfalen ,new,4
416,Sport Boat,5.25,1.98,125,25596.999999999996,Denmark , Vores udstilling,new,4
417,Launch,6.0,2.0,65,25596.999999999996,Denmark , Svendborg,new,4
420,Fishing Boat,5.3,2.0,198,28519.05,Switzerland , Lago Maggiore ,new,4
433,Pontoon Boat,6.5,2.4,110,26767.5,Italy , Dormelletto ,new,6
434,Pontoon Boat,6.05,2.42,69,26767.5,Italy , Dormelletto ,new,5
443,Pontoon Boat,6.05,2.42,48,26767.5,Switzerland , Locarno ,new,4
456,Pontoon Boat,6.5,3.0,72,26875.0,Germany , 15754 Heidesee,new,7
463,Sport Boat,5.3,2.3,64,27842.5,Germany , Hock Boote,new,9
464,Sport Boat,6.43,2.5,264,27842.5,Germany , Gersthofen,new,5
469,Center console boat,6.0,2.0,80,27842.5,France ," Rixheim, France",new,6
477,Pontoon Boat,6.6,2.45,94,28810.0,Italy , Friuli Venezia Giulia ,new,4
479,Pilothouse,5.1,2.13,138,31761.1,Switzerland , Bouveret,new,7
480,Center console boat,4.98,2.0,173,31761.1,Switzerland , Vierwaldst¤ttersee ,new,5
482,Center console boat,5.0,2.0,158,31761.1,Switzerland , Vierwaldst¤ttersee ,new,5
484,Pontoon Boat,6.5,2.4,97,28702.5,Italy , Dormelletto ,new,4
486,Pontoon Boat,6.5,2.4,137,28702.5,Switzerland , Zurigo ,new,4
487,Deck Boat,6.1,2.33,224,28616.5,Italy , Toscana ,new,4
491,Center console boat,6.77,2.48,55,28527.274999999998,Germany , Bnningstedt,new,4
493,Fishing Boat,4.6,1.85,191,32420.5,Switzerland , Bielersee ,new,4
501,Sport Boat,5.07,2.12,56,29154.0,Germany , Baden-W¼rttemberg ,new,4
503,Fishing Boat,6.28,2.24,228,32090.8,Switzerland , Lake Geneva ,new,4
508,Working Boat,7.52,2.43,227,29992.5,Germany , Erftstadt,new,4
509,Sport Boat,6.08,2.37,111,29992.5,Germany , Grevenbroich,new,8
511,Pilothouse,6.5,2.48,308,29992.5,Germany , Stadtprozelten,new,6
512,Pontoon Boat,6.05,2.4,41,29992.5,Italy , Dormelletto ,new,5
513,Deck Boat,6.25,2.28,83,29992.5,France ," BREST, France",new,5
526,Working Boat,7.65,2.48,252,30637.5,Germany , Erftstadt,new,4
536,Deck Boat,6.75,2.54,161,31175.0,Italy , Friuli Venezia Giulia ,new,6
557,Pilothouse,5.89,2.44,66,34062.5,United Kingdom ," Levington, Levington",new,6
562,Sport Boat,5.07,2.12,102,31873.75,Germany , Baden-W¼rttemberg ,new,5
582,Bowrider,6.05,2.25,65,33136.875,Germany , Nordrhein-Westfalen ,new,5
584,Sport Boat,5.07,2.12,62,33131.5,Germany , Baden-W¼rttemberg ,new,4
585,Motor Yacht,6.05,2.25,71,33120.75,Germany , Nordrhein-Westfalen ,new,5
590,Bowrider,5.7,2.26,136,33001.424999999996,Germany , Kiel,new,4
594,Fishing Boat,6.03,1.9,164,35970.27,Switzerland , Lake Constance ,new,6
595,Cabin Boat,5.5,2.29,92,32787.5,France ," granville, granville",new,4
604,Bowrider,5.2,2.1,166,34217.25,Switzerland , Vierwaldst¤ttersee ,new,5
606,House Boat,12.5,4.2,290,34185.0,Poland , Nieuwbouw.,new,4
607,Deck Boat,6.12,2.4,158,37739.659999999996,Switzerland , Neuenburgersee ,new,4
611,Pontoon Boat,6.5,2.4,36,34937.5,Italy , Dormelletto,new,5
614,Runabout,6.99,2.55,81,34937.5,Italy , Lombardia - Trentino Alto Adige ,new,5
623,Trawler,11.65,3.25,140,34926.75,Germany , Hamburg ,new,44
634,Sport Boat,6.52,2.44,87,35475.0,Germany , Kiel,new,4
641,Pilothouse,5.72,2.4,75,36550.0,Spain ," D©nia, Alicante",new,7
648,Sport Boat,6.8,2.3,82,36496.25,Germany , Nordrhein-Westfalen ,new,4
649,Launch,7.1,2.5,104,36496.25,Germany , DE,new,4
650,Sport Boat,7.45,2.49,130,36442.5,Germany , Hock Boote,new,9
655,Pilothouse,5.64,2.45,31,36442.5,France ," CHERBOURG, France",new,5
656,Sport Boat,5.5,2.29,97,37517.5,France ," granville, granville",new,4
660,Center console boat,7.45,2.5,301,37517.5,Switzerland , Lake Geneva ,new,4
664,Fishing Boat,8.0,2.8,128,37517.5,Netherlands , In verkoophaven,new,24
668,Pilothouse,6.4,2.45,220,37440.1,Switzerland , Lake Constance ,new,5
